 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,"2,461,665,937.90","4,128,820,723.00","4,583,644,246.50","5,285,465,685.90","6,275,073,571.50","7,057,598,406.60","9,843,842,455.50","10,190,529,882.50","12,486,943,505.70","15,936,800,636.20","17,930,239,399.80","20,536,542,736.70","20,046,334,304.00","20,050,189,881.70","19,702,986,340.50"
Albania,"3,632,043,908.00","4,060,758,804.10","4,435,078,647.70","5,746,945,912.60","7,314,865,175.60","8,158,548,716.70","8,992,642,348.80","10,701,011,896.80","12,881,352,687.80","12,044,212,903.80","11,926,953,258.90","12,890,867,538.50","12,319,784,787.30","12,781,029,643.60","13,219,857,459.10","11,390,365,293.80"
Algeria,"54,790,245,600.60","54,744,714,396.20","56,760,288,973.70","67,863,829,880.50","85,324,998,813.60","103,198,228,458.60","117,027,304,746.50","134,977,087,734.00","171,000,691,877.70","137,211,039,898.20","161,207,268,655.40","200,013,051,408.10","209,047,389,309.50","209,783,503,258.20","213,983,107,815.90","164,779,467,703.30"
American Samoa,,,"514,000,000.00","527,000,000.00","512,000,000.00","503,000,000.00","496,000,000.00","520,000,000.00","563,000,000.00","678,000,000.00","576,000,000.00","574,000,000.00","644,000,000.00","639,000,000.00","638,000,000.00","641,000,000.00"
Andorra,"1,401,695,227.60","1,484,017,897.10","1,717,485,413.10","2,373,927,765.20","2,916,786,689.80","3,248,215,396.10","3,536,632,793.90","4,010,990,966.30","4,001,201,113.20","3,650,083,356.50","3,346,516,556.30","3,427,022,518.80","3,146,151,869.50","3,248,924,588.40",,
Angola,"9,129,594,818.60","8,936,063,723.20","12,497,346,669.70","14,188,949,190.60","19,640,848,728.90","28,233,712,830.90","41,789,478,661.30","60,448,921,272.20","84,178,032,716.10","75,492,384,801.40","82,470,913,120.70","104,115,923,082.70","115,398,371,427.70","124,912,063,308.20","126,776,874,216.70","102,962,245,246.70"
Antigua and Barbuda,"825,405,518.50","795,976,518.50","809,754,481.50","850,218,592.60","913,710,370.40","1,014,979,666.70","1,149,025,481.50","1,302,388,925.90","1,359,733,555.60","1,217,719,666.70","1,147,942,222.20","1,141,865,444.40","1,216,045,777.80","1,195,885,111.10","1,274,330,333.30","1,355,645,888.90"
Argentina,"284,203,750,000.00","268,696,750,000.00","97,724,004,251.90","127,586,973,492.20","164,657,930,452.80","198,737,095,012.30","232,557,260,817.30","287,530,508,430.60","361,558,037,110.40","332,976,484,577.60","423,627,422,092.50","530,163,281,574.70","545,982,375,701.10","552,025,140,252.20","526,319,673,731.60","584,711,485,367.30"
Armenia,"1,911,563,665.40","2,118,467,913.40","2,376,335,048.40","2,807,061,008.70","3,576,615,240.40","4,900,469,515.10","6,384,451,606.10","9,206,301,700.40","11,662,040,713.90","8,647,936,748.00","9,260,284,937.80","10,142,111,334.50","10,619,320,048.60","11,121,465,767.40","11,609,512,939.80","10,529,182,498.30"
Aruba,"1,873,452,514.00","1,920,262,569.80","1,941,094,972.10","2,021,301,676.00","2,228,279,329.60","2,331,005,586.60","2,421,474,860.30","2,623,726,257.00","2,791,960,893.90","2,498,932,960.90","2,467,703,910.60","2,584,463,687.20",,,,
