Year,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL SEVEN MAJOR FELONY OFFENSES
2000.0,673.0,2068.0,32562.0,25924.0,38352.0,49631.0,35442.0,184652.0
2001.0,649.0,1981.0,28202.0,23453.0,32763.0,46329.0,29531.0,162908.0
2002.0,587.0,2144.0,27229.0,21147.0,31275.0,45771.0,26656.0,154809.0
2003.0,597.0,2070.0,25989.0,19139.0,29110.0,46751.0,23413.0,147069.0
2004.0,570.0,1905.0,24373.0,18622.0,26976.0,48763.0,20884.0,142093.0
2005.0,539.0,1858.0,24722.0,17750.0,24117.0,48243.0,18246.0,135475.0
2006.0,596.0,1525.0,23739.0,17309.0,23143.0,46625.0,15745.0,128682.0
2007.0,496.0,1351.0,21809.0,17493.0,21762.0,44924.0,13174.0,121009.0
2008.0,523.0,1299.0,22401.0,16284.0,20725.0,44242.0,12482.0,117956.0
2009.0,471.0,1205.0,18601.0,16773.0,19430.0,39580.0,10670.0,106730.0
2010.0,536.0,1373.0,19486.0,16956.0,18600.0,37835.0,10329.0,105115.0
2011.0,515.0,1420.0,19717.0,18482.0,18720.0,38501.0,9314.0,106669.0
2012.0,419.0,1445.0,20144.0,19381.0,19168.0,42497.0,8093.0,111147.0
2013.0,335.0,1378.0,19128.0,20297.0,17429.0,45368.0,7400.0,111335.0
2014.0,333.0,1352.0,16539.0,20207.0,16765.0,43862.0,7664.0,106722.0
2015.0,352.0,1438.0,16931.0,20270.0,15125.0,44005.0,7332.0,105453.0
2016.0,335.0,1438.0,15500.0,20847.0,12990.0,44279.0,6327.0,101716.0
